State,February
Alabama,"750,939"
Alaska,"95,170"
American Samoa,--
Arizona,"799,080"
Arkansas,"304,315"
California,"4,489,949"
Colorado,"521,139"
Connecticut,"373,068"
Delaware,"119,215"
District of Columbia,"149,180"
Florida,"2,760,132"
Georgia,"1,615,215"
Guam,"37,858"
Hawaii,"171,271"
Idaho,"124,252"
Illinois,"1,988,757"
Indiana,"618,584"
Iowa,"283,815"
Kansas,"195,478"
Kentucky,"543,989"
Louisiana,"818,504"
Maine,"159,719"
Maryland,"881,093"
Massachusetts,"1,018,183"
Michigan,"1,322,569"
Minnesota,"432,607"
Mississippi,"407,164"
Missouri,"640,799"
Montana,"89,645"
Nebraska,"154,773"
Nevada,"448,298"
New Hampshire,"67,569"
New Jersey,"898,217"
New Mexico,"541,122"
New York,"2,836,489"
North Carolina,"1,666,555"
North Dakota,"47,289"
Ohio,"1,489,166"
Oklahoma,"630,738"
Oregon,"723,818"
Pennsylvania,"1,856,520"
Puerto Rico,--
Rhode Island,"138,290"
South Carolina,"610,974"
South Dakota,"71,232"
Tennessee,"837,855"
Texas,"3,493,004"
Utah,"158,491"
Vermont,"70,103"
Virginia,"809,874"
Virgin Islands,"23,333"
Washington,"856,261"
West Virginia,"304,659"
Wisconsin,"714,211"
Wyoming,"30,421"
,
